x,z,label
1.10,2.13,qat
2.59,2.16,doq
1.78,2.45,doq
1.17,0.14,qat
2.71,0.48,doq
0.95,2.39,qat
2.55,2.89,doq
0.44,2.51,qat
1.55,2.20,qat
2.63,0.33,doq
1.96,2.16,doq
3.00,1.32,doq
1.86,2.85,doq
0.67,0.24,qat
1.07,2.14,qat
1.49,0.03,qat
3.12,0.54,doq
2.74,0.02,doq
1.01,2.51,qat
0.95,1.59,qat
2.37,1.41,doq
0.87,0.75,qat
1.57,1.36,doq
1.40,3.07,qat
0.42,1.68,qat
1.54,1.56,qat
0.33,3.09,qat
0.41,1.48,qat
1.99,0.72,doq
0.16,0.32,qat
2.26,1.10,doq
0.36,2.81,qat
0.82,3.05,qat
0.87,1.73,qat
0.27,2.26,qat
0.44,0.49,qat
0.26,1.61,qat
2.89,1.20,doq
0.91,3.10,qat
2.63,2.72,doq
1.39,2.03,qat
2.30,1.78,doq
0.84,0.61,qat
2.11,1.03,doq
2.85,1.21,doq
2.74,1.67,doq
0.44,3.05,qat
0.30,2.24,qat
0.69,1.19,qat
1.60,2.42,doq
2.01,2.37,doq
2.87,2.49,doq
1.67,2.58,doq
0.68,0.28,qat
2.40,1.11,doq
2.53,0.42,doq
2.83,1.15,doq
1.27,0.45,qat
1.85,0.78,doq
1.12,2.79,qat
2.45,1.06,doq
2.43,2.97,doq
1.41,1.18,qat
0.19,2.28,qat
0.01,2.25,qat
1.09,3.04,qat
1.93,2.86,doq
2.87,2.19,doq
2.53,1.27,doq
2.67,2.99,doq
2.68,2.27,doq
1.74,1.66,doq
1.10,0.68,qat
0.74,1.64,qat
0.63,1.99,qat
1.68,1.95,doq
0.77,1.16,qat
0.75,1.99,qat
0.75,0.11,qat
3.00,2.59,doq
2.97,1.30,doq
2.39,1.83,doq
2.01,2.51,doq
0.70,3.08,qat
1.55,1.85,qat
3.13,3.01,doq
3.13,1.32,doq
2.62,0.11,doq
0.01,2.90,qat
2.12,1.96,doq
0.91,1.19,qat
3.13,1.01,doq
1.07,1.96,qat
1.33,3.05,qat
1.90,0.48,doq
1.01,1.15,qat
2.02,2.49,doq
1.25,1.30,qat
1.72,2.75,doq
2.39,1.66,doq
0.60,2.74,qat
1.06,2.32,qat
1.58,1.42,doq
2.32,1.94,doq
1.95,2.56,doq
1.29,1.13,qat
2.82,1.18,doq
2.34,3.03,doq
2.80,2.75,doq
2.80,2.44,doq
1.53,1.96,qat
1.80,2.01,doq
1.96,1.04,doq
1.56,2.14,qat
2.91,1.68,doq
2.59,1.30,doq
2.15,0.22,doq
2.93,1.63,doq
1.37,0.32,qat
0.16,1.98,qat
1.56,0.92,qat
2.95,2.51,doq
1.71,2.82,doq
2.20,1.76,doq
0.03,0.55,qat
2.28,1.69,doq
3.00,2.84,doq
0.99,0.77,qat
2.71,2.70,doq
0.78,2.92,qat
1.64,1.81,doq
0.92,1.02,qat
0.91,1.41,qat
2.12,1.64,doq
0.97,1.04,qat
0.42,2.75,qat
3.05,1.41,doq
0.91,1.73,qat
1.08,0.07,qat
0.22,2.58,qat
1.95,3.07,doq
1.80,2.33,doq
0.80,1.19,qat
1.57,1.62,doq
0.25,1.98,qat
1.79,0.63,doq
1.35,0.06,qat
1.64,0.77,doq
1.01,1.98,qat
1.77,2.33,doq
0.13,0.76,qat
0.17,2.47,qat
1.87,2.75,doq
0.29,3.01,qat
2.75,0.46,doq
2.14,0.95,doq
1.80,0.24,doq
2.99,0.11,doq
1.35,2.77,qat
1.26,1.22,qat
0.22,0.20,qat
0.64,2.96,qat
2.04,1.51,doq
2.52,2.37,doq
2.67,1.78,doq
3.05,2.49,doq
0.18,3.08,qat
2.23,0.48,doq
2.39,0.17,doq
1.96,1.74,doq
0.98,2.19,qat
1.56,2.76,qat
1.29,1.93,qat
1.99,2.17,doq
1.07,3.02,qat
0.63,0.37,qat
1.20,2.68,qat
0.07,1.58,qat
3.14,1.04,doq
2.00,1.93,doq
2.64,0.54,doq
2.55,2.48,doq
1.01,1.21,qat
2.35,0.67,doq
1.10,0.26,qat
0.18,2.23,qat
2.36,1.29,doq
0.24,3.04,qat
2.55,0.61,doq
1.06,0.55,qat
0.76,0.13,qat
1.97,1.40,doq
0.92,2.32,qat
2.19,1.86,doq
2.70,0.37,doq
1.24,1.43,qat
1.02,0.79,qat
1.54,1.18,qat
3.10,1.88,doq
